Crop Type,Water Availability,Rainfall (mm),Soil Type,Soil Moisture (%),Temperature ,Evaporation Rate (mm/day),Irrigation Type
Cotton,Low,216.5767215,Saline,44.46054829,26.13466315,3.705136955,Furrow Irrigation
Barley,Medium,80.44047778,Black,44.74558559,15.36417887,8.937418836,Subsurface Irrigation
Wheat,High,169.5585058,Red,38.97377625,21.18499368,9.646745177,Drip Irrigation
Barley,Low,176.5268887,Loamy,39.83013516,36.6573109,3.893722447,Surface Irrigation
Barley,High,108.1378396,Sandy,32.31709781,19.11571071,9.06092366,Surface Irrigation
Barley,Medium,69.99134859,Black,33.38672361,25.37812349,2.7758301,Border Irrigation
Cotton,Medium,244.1809076,Saline,15.34602326,15.35827265,2.445654689,Surface Irrigation
Barley,Low,80.50876303,Sandy,27.75436754,26.95838704,3.033790401,Border Irrigation
Millets,Medium,198.5726876,Sandy,28.03105136,15.52552767,2.461928636,Drip Irrigation
Ground Nuts,Low,284.1122935,Sandy,48.33991343,35.49023883,8.760097897,Surface Irrigation
Ground Nuts,Medium,269.0262981,Loamy,27.2434745,35.62134419,2.472401156,Surface Irrigation
Sugarcane,Medium,119.4381559,Clay,31.9737058,34.69355471,4.173313531,Basin Irrigation
Paddy,Low,262.8621594,Black,31.33005597,22.08410172,2.830050748,Surface Irrigation
Maize,Low,50.08312653,Clay,35.47046868,35.93093046,4.363376291,Manual Irrigation
Maize,Low,54.4219524,Clay,39.92931325,28.57495332,2.724475741,Border Irrigation
Paddy,Medium,200.638291,Clay,19.00167505,24.34520272,7.344026006,Furrow Irrigation
Cotton,Medium,141.1995548,Sandy,31.14897676,30.63324899,3.066614531,Subsurface Irrigation
Tobacco,High,146.6152103,Red,43.03670829,15.30852615,8.814767407,Drip Irrigation
Cotton,Low,191.1102727,Sandy,28.52458855,18.57402194,8.537528406,Sprinkler Irrigation
Maize,Medium,97.9456139,Sandy,21.13830185,33.55733845,2.109293484,Basin Irrigation
Maize,Medium,102.9388377,Saline,36.18836301,21.10404022,9.165810844,Border Irrigation
Paddy,Low,171.1503968,Saline,42.95069583,29.95022793,2.231554534,Basin Irrigation
Barley,High,238.5633861,Clay,12.52561172,24.62756507,3.91716628,Furrow Irrigation
Cotton,Low,204.8744379,Sandy,41.07161934,36.37014447,2.259113102,Surface Irrigation
Oil Seeds,High,124.3387621,Clay,42.86591732,38.81038265,4.686747896,Drip Irrigation
Paddy,Medium,157.5842944,Saline,28.4609171,37.08911821,6.110932206,Basin Irrigation
Millets,High,92.66618964,Red,49.33222627,21.76549987,8.373158952,Drip Irrigation
Maize,Medium,68.65745358,Black,41.46833363,19.85407173,4.703852404,Subsurface Irrigation
Paddy,Low,245.6740102,Clay,40.9465026,26.86087234,7.643920197,Sprinkler Irrigation
Cotton,Low,116.3468523,Red,39.91354298,15.18335377,3.500035657,Border Irrigation
Maize,Low,94.44159696,Black,16.02432413,15.64523482,8.004787654,Sprinkler Irrigation
Tobacco,High,222.9045139,Loamy,18.68923546,28.83226599,3.887972847,Border Irrigation
Paddy,Medium,204.5129186,Clay,28.55960526,28.0112351,3.148358048,Basin Irrigation
Wheat,Low,208.2974065,Clay,20.560174,39.86454973,3.483270803,Surface Irrigation
Maize,Low,107.2236512,Loamy,26.60963889,20.04604588,3.456505031,Furrow Irrigation
Cotton,Medium,108.1613846,Loamy,45.5385644,21.45259823,6.102903035,Furrow Irrigation
Sugarcane,Low,105.2006574,Clay,42.97307568,17.83851606,8.75838065,Sprinkler Irrigation
Oil Seeds,Medium,93.43814892,Loamy,35.20159514,37.93857524,2.636840616,Border Irrigation
Pulses,Medium,213.9309181,Sandy,44.32481577,34.44528111,7.655650548,Furrow Irrigation
Barley,Medium,262.0039713,Black,41.35089556,35.55847779,7.234771677,Surface Irrigation
Pulses,Medium,231.0793674,Black,27.15939727,37.5690947,8.980159615,Sprinkler Irrigation
Cotton,Medium,248.0234084,Black,18.04260608,28.12249967,3.953180484,Furrow Irrigation
Millets,High,151.1996073,Sandy,30.5680416,26.27982979,5.600878869,Surface Irrigation
Millets,Low,213.5189488,Loamy,39.4491553,23.25978684,9.406618996,Sprinkler Irrigation
Sugarcane,High,138.5590601,Red,27.45678395,29.73036536,7.279947601,Basin Irrigation
Barley,Low,181.3761555,Loamy,36.67087639,26.35695992,5.110147303,Sprinkler Irrigation
Wheat,High,170.4087116,Clay,13.77309705,26.28913967,3.051299063,Furrow Irrigation
Sugarcane,Medium,94.22178629,Saline,39.92018945,38.42319659,4.099880063,Basin Irrigation
Ground Nuts,Low,146.7696901,Black,42.5085448,39.60078786,6.64972382,Subsurface Irrigation
Pulses,Low,290.9555689,Loamy,38.27351423,34.91210973,7.74534358,Surface Irrigation
Sugarcane,High,112.1450644,Red,48.6905435,33.91895226,2.995375095,Drip Irrigation
Pulses,High,83.45093407,Clay,43.0660823,32.01395404,6.79677808,Drip Irrigation
Maize,Low,154.6451554,Sandy,46.12374912,19.15187131,6.402810231,Sprinkler Irrigation
Millets,High,247.584434,Sandy,47.34284334,16.47764552,6.111643574,Drip Irrigation
Maize,High,195.5370574,Red,42.05391967,32.26815788,7.520984941,Drip Irrigation
Oil Seeds,High,220.2437068,Clay,36.97035368,33.21965556,8.699596761,Drip Irrigation
Ground Nuts,Medium,97.42371204,Black,10.22874325,16.17432478,4.583917465,Furrow Irrigation
Barley,Medium,204.7370483,Loamy,28.63303013,38.20129376,9.112097521,Subsurface Irrigation
Wheat,High,130.8750987,Clay,32.84649194,17.27851599,3.285068901,Border Irrigation
Pulses,High,258.5758415,Sandy,22.1612109,22.14751334,3.384190958,Surface Irrigation
Wheat,Medium,207.3247015,Red,22.72417788,31.80974532,4.134176509,Subsurface Irrigation
Pulses,Medium,99.71406944,Red,48.44637663,19.24681486,2.956246956,Subsurface Irrigation
Cotton,Low,66.15416996,Loamy,45.66843461,16.38539721,3.842553797,Basin Irrigation
Sugarcane,Low,60.65830232,Red,43.96716022,23.27866223,2.851294103,Basin Irrigation
Oil Seeds,Medium,142.8521419,Red,26.24047207,34.14928937,8.574019336,Sprinkler Irrigation
Millets,High,116.4627842,Clay,10.54794202,25.34196697,3.111751935,Furrow Irrigation
Pulses,High,211.5225309,Black,13.20888986,31.32432305,7.97838046,Furrow Irrigation
Wheat,High,174.8334587,Loamy,22.48785473,29.49047743,2.383310943,Basin Irrigation
Oil Seeds,High,116.5048195,Clay,10.62971652,15.55546205,9.58816262,Furrow Irrigation
Tobacco,Low,87.30944449,Black,10.68599128,39.71349968,7.6892807,Sprinkler Irrigation
Tobacco,Medium,81.79994067,Clay,46.66413207,16.03570222,2.054372389,Border Irrigation
Maize,High,266.165098,Saline,38.24634008,39.19506844,8.110852002,Drip Irrigation
Millets,Low,110.8694921,Clay,22.3582396,28.74660446,6.112655366,Surface Irrigation
Cotton,High,212.927662,Red,15.3057831,39.07897568,8.234921363,Sprinkler Irrigation
Wheat,Medium,252.671482,Black,30.46542872,17.86883999,6.179974471,Surface Irrigation
Sugarcane,Low,203.5203278,Loamy,10.21384643,27.26021298,7.128198861,Sprinkler Irrigation
Sugarcane,Medium,264.8913079,Loamy,47.53654975,19.2376023,8.290653243,Surface Irrigation
Wheat,Medium,148.0984304,Black,26.59260478,16.27437193,5.240864437,Surface Irrigation
Barley,Low,289.0555477,Red,26.09339821,30.43822788,2.021665199,Surface Irrigation
Cotton,Low,83.28625104,Sandy,25.6237443,20.19458552,8.799571968,Sprinkler Irrigation
Oil Seeds,Low,75.53738241,Clay,12.77313322,29.69242546,5.047122901,Furrow Irrigation
Pulses,Low,214.6730366,Red,35.53288959,17.80911205,5.968341808,Surface Irrigation
Barley,Low,285.7077854,Saline,39.32014479,23.29966179,2.062133137,Surface Irrigation
Pulses,Low,252.2208654,Black,37.0450159,34.54081395,5.936736083,Surface Irrigation
Pulses,Low,69.10421486,Clay,15.53741973,25.92628805,9.891899213,Sprinkler Irrigation
Barley,High,119.8419285,Loamy,33.15360672,30.69363537,4.226141287,Subsurface Irrigation
Maize,Medium,282.5797212,Sandy,32.77937937,31.18644852,5.163346162,Surface Irrigation
Tobacco,Low,113.2646082,Saline,44.73643152,36.0938761,7.497519972,Sprinkler Irrigation
Pulses,High,245.2926059,Loamy,25.16510634,23.12306986,8.51834934,Manual Irrigation
Barley,High,256.283049,Black,24.85943775,32.18238906,5.339132992,Surface Irrigation
Barley,High,173.8630259,Clay,34.74108235,39.04039518,4.477350963,Sprinkler Irrigation
Ground Nuts,Medium,146.5872275,Black,35.32290614,33.25608336,9.5026064,Surface Irrigation
Paddy,Low,162.5311081,Clay,28.77140909,27.24676192,7.417159733,Sprinkler Irrigation
Maize,High,106.7411736,Red,27.72237449,30.76793611,2.952170436,Manual Irrigation
Millets,Medium,272.347729,Sandy,29.76590683,33.49207244,2.551423025,Surface Irrigation
Paddy,Medium,162.6549142,Red,44.44181198,30.30689414,5.868398806,Basin Irrigation
Paddy,Medium,270.6148601,Red,28.44667605,15.41689534,3.760720528,Surface Irrigation
Wheat,High,76.42336998,Black,47.59727168,19.86933744,4.031878027,Drip Irrigation
Tobacco,Low,297.0688178,Sandy,30.16015054,35.26170543,9.021537431,Surface Irrigation
Barley,High,160.8182719,Clay,47.96802773,21.81626618,2.716528195,Drip Irrigation
Tobacco,High,61.9577051,Clay,43.31327607,33.28905299,7.722912922,Drip Irrigation
Cotton,Low,59.50546206,Saline,24.4972529,24.30300538,4.169138027,Furrow Irrigation
Wheat,Low,236.5518144,Loamy,44.54565685,28.0471082,8.082625771,Sprinkler Irrigation
Millets,Low,214.7588836,Saline,14.40253137,16.6993325,7.779291076,Sprinkler Irrigation
Tobacco,Medium,250.5326395,Saline,47.00188701,19.53063903,2.059135212,Surface Irrigation
Sugarcane,Low,76.34188349,Clay,35.2657406,38.92992409,6.073083303,Basin Irrigation
Pulses,High,58.89271676,Black,12.17562994,37.25345134,3.114555859,Furrow Irrigation
Cotton,Low,177.1448224,Red,35.77026895,31.30687777,8.929816245,Sprinkler Irrigation
Maize,High,146.8988079,Red,48.96990617,26.49111493,8.972687063,Drip Irrigation
Millets,Medium,165.4867342,Red,12.79202618,31.89403232,5.34676646,Surface Irrigation
Cotton,High,297.8971022,Sandy,32.18750839,30.46525723,5.555164948,Surface Irrigation
Pulses,High,292.6874894,Clay,39.91177399,29.21380639,4.426263515,Drip Irrigation
Wheat,Low,285.5788474,Black,42.41034347,16.4794268,7.732850392,Surface Irrigation
Pulses,Low,245.9606692,Sandy,26.55309861,30.82006527,4.869290904,Furrow Irrigation
Paddy,High,138.7103401,Loamy,18.16666237,34.22300111,4.142339796,Basin Irrigation
Pulses,Low,153.0327326,Black,11.69369115,39.85204137,5.457848476,Furrow Irrigation
Paddy,Medium,187.4040109,Saline,33.18904628,15.27696381,2.731900147,Basin Irrigation
Wheat,Medium,257.6336141,Black,28.11644281,33.25433633,7.972825637,Surface Irrigation
Oil Seeds,Low,67.17820813,Black,47.94977581,29.2947329,2.10077121,Sprinkler Irrigation
Paddy,Medium,156.0742215,Red,12.42419631,25.8513044,7.155880492,Basin Irrigation
Maize,Low,70.65441586,Black,37.41581374,18.18925436,3.462916214,Border Irrigation
Pulses,High,178.6643966,Saline,10.99864888,25.22712872,3.85923237,Basin Irrigation
Pulses,High,274.725206,Saline,16.85736707,23.85942957,7.085055989,Surface Irrigation
Maize,Medium,245.6212311,Clay,28.14316,22.57074722,9.943547726,Sprinkler Irrigation
Sugarcane,Low,106.9606044,Black,28.19489771,33.27199058,8.221739913,Sprinkler Irrigation
Barley,Low,293.9977124,Red,37.42802172,32.51813803,3.806717058,Surface Irrigation
Oil Seeds,Medium,216.8375995,Black,46.40852139,29.72550227,3.40819804,Basin Irrigation
Millets,High,52.60692485,Loamy,35.56128636,38.46662033,8.929862962,Drip Irrigation
Paddy,Medium,113.8533712,Loamy,48.14140391,23.7463596,5.553471583,Basin Irrigation
Maize,High,115.178325,Red,45.2646256,21.09504844,3.096422423,Drip Irrigation
Wheat,Low,67.31357657,Clay,33.37999182,31.39758283,8.897691387,Sprinkler Irrigation
Paddy,High,289.9566295,Clay,43.35167804,19.97035152,8.528738823,Drip Irrigation
Barley,Medium,169.5638236,Saline,35.70310441,22.87526268,9.871250911,Basin Irrigation
Wheat,Low,273.9536493,Saline,13.14231324,20.615061,9.277949494,Surface Irrigation
Cotton,Medium,130.5538759,Sandy,39.62258893,16.72883919,8.814322709,Sprinkler Irrigation
Pulses,Medium,81.30839261,Red,13.79633765,35.68746854,2.420595182,Surface Irrigation
Cotton,High,168.5840275,Black,33.76331122,21.36351357,2.835322956,Drip Irrigation
Paddy,Medium,78.48915868,Red,38.10560823,26.82568758,6.551865554,Basin Irrigation
Barley,High,171.5038757,Sandy,12.66110433,16.08288183,6.25183397,Surface Irrigation
Oil Seeds,Low,280.0742953,Saline,19.23178616,32.48348666,5.663705716,Surface Irrigation
Paddy,High,180.1920355,Red,46.62688929,23.26402506,5.174314603,Drip Irrigation
Maize,Low,204.1249317,Red,34.65257969,33.6184182,5.449683879,Surface Irrigation
Tobacco,High,89.15960924,Saline,19.85144075,25.31007651,6.554383473,Border Irrigation
Paddy,Medium,60.93390647,Sandy,37.62719085,19.89389016,2.016612141,Basin Irrigation
Pulses,High,77.70199054,Saline,33.8710568,27.82937706,4.085670193,Subsurface Irrigation
Pulses,High,199.6328939,Clay,30.063028,18.26261399,6.146237766,Subsurface Irrigation
Paddy,Low,73.75292475,Black,49.047479,26.013479,7.777728789,Sprinkler Irrigation
Wheat,Medium,143.9982225,Saline,37.3381511,22.93263694,3.393253539,Surface Irrigation
Tobacco,High,187.5229851,Sandy,25.01764439,37.7989896,6.37504939,Furrow Irrigation
Maize,Medium,147.1631997,Loamy,42.00293728,16.52321804,7.715677471,Border Irrigation
Paddy,High,90.92095037,Clay,45.38333172,32.35043535,5.557021263,Drip Irrigation
Wheat,High,118.4478269,Loamy,15.00882238,19.56877915,2.216649069,Basin Irrigation
Pulses,Medium,282.0793832,Saline,18.02211911,22.97612686,5.594145268,Surface Irrigation
Pulses,High,218.9955689,Clay,18.64908037,25.38785158,4.371559102,Furrow Irrigation
Barley,Medium,174.0119597,Black,37.64847238,37.70037723,9.437196862,Manual Irrigation
Paddy,High,53.1787225,Saline,34.1215822,21.06445665,2.996907085,Basin Irrigation
Tobacco,Low,298.1038501,Black,34.75966259,17.28272006,7.219807644,Surface Irrigation
Sugarcane,Medium,217.8637337,Red,47.63093199,22.9672401,2.421758131,Basin Irrigation
Tobacco,High,129.2306193,Loamy,41.03646131,17.61689926,5.569363503,Drip Irrigation
Pulses,High,269.817165,Clay,15.11747698,18.21491215,6.431835898,Surface Irrigation
Pulses,Low,114.6079051,Black,23.9002833,29.34626495,4.383639451,Subsurface Irrigation
Cotton,Medium,186.0041448,Sandy,27.41574585,16.52254833,5.640605084,Surface Irrigation
Pulses,High,209.0176909,Black,25.83846355,15.77327203,3.308430356,Border Irrigation
Maize,Low,105.2658429,Sandy,36.77234437,32.86035254,4.432990796,Drip Irrigation
Millets,High,294.5993197,Saline,45.67572413,24.04117737,6.968850599,Drip Irrigation
Paddy,Medium,237.0479765,Clay,22.24205854,18.13438373,4.414400447,Basin Irrigation
Tobacco,High,189.4533064,Black,32.07508546,21.34031927,9.197944627,Furrow Irrigation
Millets,High,95.14864954,Black,41.57637688,31.05216268,7.027255661,Drip Irrigation
Wheat,High,63.46455175,Clay,26.64872235,21.88841418,5.509192147,Sprinkler Irrigation
Sugarcane,High,130.0149581,Black,16.72472514,27.36302813,2.310055484,Furrow Irrigation
Maize,Low,238.296834,Sandy,28.99803861,18.04238267,5.996386682,Surface Irrigation
Ground Nuts,Low,117.3328246,Black,12.20890083,29.70234094,8.118209937,Sprinkler Irrigation
Tobacco,Medium,184.8890551,Loamy,47.69533816,22.9019421,4.124460784,Border Irrigation
Millets,Low,231.9867942,Saline,12.99284821,30.67421086,8.454188557,Sprinkler Irrigation
Sugarcane,Low,76.98592866,Red,27.53826861,35.20987206,4.014454128,Basin Irrigation
Cotton,Medium,221.324504,Sandy,31.19525044,30.29116048,8.589971104,Surface Irrigation
Maize,Low,72.96772193,Loamy,49.41215329,22.39368906,2.682146733,Manual Irrigation
Maize,Low,291.2824355,Saline,16.64087295,21.39359254,8.929469671,Surface Irrigation
Cotton,Medium,172.0985325,Clay,14.57726074,23.18552397,5.993491607,Furrow Irrigation
Ground Nuts,Medium,87.66902693,Sandy,10.34824588,19.11551283,4.372300717,Basin Irrigation
Paddy,Medium,135.595909,Red,16.22285747,19.52929627,4.120906003,Basin Irrigation
Cotton,High,153.3541123,Saline,18.29091916,34.76727755,5.456084471,Furrow Irrigation
Maize,High,239.5462528,Red,35.22323766,24.61831441,9.992395985,Drip Irrigation
Maize,Medium,235.8559465,Clay,18.78827162,25.89987951,3.762619148,Furrow Irrigation
Millets,Medium,202.9851263,Clay,10.82083259,29.85123664,2.825733191,Furrow Irrigation
Pulses,Medium,76.48267814,Sandy,43.06473382,29.74133738,6.68028135,Subsurface Irrigation
Ground Nuts,High,87.8923429,Black,24.62382804,16.68442179,5.908339732,Subsurface Irrigation
Sugarcane,High,73.43923016,Clay,24.14786746,35.78851966,6.193570169,Basin Irrigation
Cotton,Low,194.2931958,Saline,22.09916117,19.43316383,7.33548334,Sprinkler Irrigation
Sugarcane,Low,269.2846104,Black,49.01493109,33.0767909,4.137152559,Surface Irrigation
Cotton,Medium,158.4501281,Loamy,16.80461669,34.3167747,9.285319963,Subsurface Irrigation
Wheat,High,90.21204349,Red,45.92952256,32.87248835,5.485376529,Drip Irrigation
Maize,High,189.5105813,Black,41.07213329,29.47444116,3.032689561,Drip Irrigation
Pulses,High,252.9380542,Red,13.05919822,15.36522493,7.938390054,Surface Irrigation
Millets,Medium,235.4280154,Black,49.46916406,24.00938731,7.144834821,Manual Irrigation
Pulses,Low,270.3626949,Loamy,20.85463854,30.12098573,4.52594722,Surface Irrigation
Pulses,Medium,119.4755243,Clay,13.94331708,24.6862824,6.972149792,Furrow Irrigation
Pulses,Low,98.48846682,Loamy,43.17256937,36.58699737,3.758895651,Sprinkler Irrigation
Sugarcane,Low,269.9541215,Clay,38.26702135,22.72005688,5.558714875,Surface Irrigation
Cotton,Medium,214.3900782,Clay,34.68875224,22.33836981,9.195300177,Border Irrigation
Oil Seeds,Low,127.7322325,Red,16.23923455,21.64994233,3.068273865,Furrow Irrigation
Wheat,Low,235.5870126,Saline,29.13984465,23.31952172,5.0935716,Furrow Irrigation
Tobacco,High,253.7795961,Loamy,41.22224108,28.93512411,8.569139398,Drip Irrigation
Pulses,Low,203.7445601,Black,22.14495753,32.67538236,9.755927195,Sprinkler Irrigation
Paddy,Medium,221.9710275,Loamy,22.46759314,31.56419794,5.631409091,Basin Irrigation
Sugarcane,Medium,143.8149761,Red,10.12563624,35.1929455,6.055996961,Basin Irrigation
Ground Nuts,Low,184.6739168,Clay,16.96973607,37.14784989,6.577375694,Furrow Irrigation
Millets,High,181.0397927,Red,45.016225,35.40197606,9.458785133,Drip Irrigation
Tobacco,High,262.0119478,Sandy,27.66985967,15.47363508,8.865654328,Surface Irrigation
Oil Seeds,Low,259.9909951,Sandy,49.36937997,33.39794884,3.364808997,Surface Irrigation
Paddy,Low,258.1701173,Black,25.82831854,20.20998934,5.494062543,Surface Irrigation
Oil Seeds,Medium,52.75790357,Red,38.60745819,18.32320107,5.712003426,Subsurface Irrigation
Tobacco,Low,237.3863711,Black,21.27676172,30.96221962,8.312768893,Sprinkler Irrigation
Pulses,High,239.6690975,Black,24.55238565,22.99357989,6.823143061,Subsurface Irrigation
Paddy,Low,219.5947057,Sandy,17.6290395,16.42792908,7.233763696,Sprinkler Irrigation
Oil Seeds,Medium,239.0661645,Black,23.88249474,18.44074336,9.985599261,Basin Irrigation
Millets,Medium,260.4925929,Sandy,31.88950082,15.02323542,2.599680348,Surface Irrigation
Cotton,Medium,167.5797635,Clay,49.67091524,37.58059068,3.784078588,Manual Irrigation
Maize,Medium,175.5125534,Red,36.56806852,15.6154496,5.263167499,Drip Irrigation
Cotton,Medium,81.17851423,Black,17.96983818,20.23639424,4.782259224,Furrow Irrigation
Tobacco,Low,146.3439708,Sandy,11.79845766,25.40656952,2.173164491,Drip Irrigation
Sugarcane,Low,210.841295,Loamy,15.05425925,23.91428315,2.734220852,Basin Irrigation
Maize,Low,245.099944,Black,32.50220805,37.79314692,7.447626331,Sprinkler Irrigation
Wheat,Low,104.3022744,Saline,40.60641315,16.00722364,9.034595707,Sprinkler Irrigation
Millets,Medium,84.45572479,Clay,47.61676829,27.80536769,6.11381609,Surface Irrigation
Wheat,High,215.7605011,Clay,10.63292688,32.01198656,6.313528636,Furrow Irrigation
Paddy,Low,50.46997088,Loamy,30.91040566,38.29244934,4.040747463,Basin Irrigation
Maize,High,94.59314608,Sandy,28.83469425,30.5092813,8.143010909,Surface Irrigation
Wheat,Low,57.26784509,Black,36.24220088,35.0938809,8.014356699,Sprinkler Irrigation
Wheat,Low,91.72127946,Sandy,32.38315418,17.09312345,6.706925514,Furrow Irrigation
Oil Seeds,High,95.32981998,Clay,37.48156602,24.64848777,3.701314292,Drip Irrigation
Cotton,Medium,146.9183987,Sandy,36.32330339,24.34867836,2.776145746,Furrow Irrigation
Oil Seeds,Low,150.5817812,Clay,14.68046899,37.15720541,2.513908607,Furrow Irrigation
Maize,Low,268.5656177,Sandy,41.98871654,18.78427928,6.741568533,Surface Irrigation
Maize,Low,177.5274281,Loamy,14.92930303,18.79715431,8.600282553,Sprinkler Irrigation
Tobacco,High,230.8511914,Red,37.94122501,23.21395375,8.866643454,Drip Irrigation
Oil Seeds,Medium,76.03433948,Loamy,26.64581471,16.36165118,5.708976595,Sprinkler Irrigation
Barley,High,106.3596889,Loamy,30.55402938,19.56145102,8.274170394,Sprinkler Irrigation
Ground Nuts,High,225.7358602,Red,46.13192058,39.13024096,9.575041571,Drip Irrigation
Cotton,Medium,63.20099012,Red,45.59534906,25.7045985,4.2013609,Drip Irrigation
Maize,High,171.6494156,Black,42.71425223,30.80048021,5.183682771,Drip Irrigation
Tobacco,Medium,199.8422414,Black,30.40593522,33.15278148,9.451831941,Manual Irrigation
Oil Seeds,Low,200.536411,Loamy,39.44959241,24.17403518,4.705847739,Surface Irrigation
Cotton,Medium,55.73320282,Loamy,30.51588222,18.68067686,9.311010323,Drip Irrigation
Oil Seeds,Low,130.5270011,Clay,44.7842433,20.16452541,9.848358898,Sprinkler Irrigation
Wheat,High,209.1226628,Clay,26.11103333,22.83166191,7.294485829,Manual Irrigation
Tobacco,High,87.24993404,Black,48.80941378,30.90171051,8.535122316,Drip Irrigation
Cotton,Low,223.8539121,Saline,47.29291033,24.95701373,7.996364514,Sprinkler Irrigation
Pulses,High,236.4813022,Saline,39.66410478,15.17036745,7.596274061,Drip Irrigation
Paddy,Medium,295.4922976,Black,21.17663537,28.08517963,4.455448584,Surface Irrigation
Paddy,Low,102.4604987,Clay,15.26614355,38.0378348,2.456754703,Furrow Irrigation
Cotton,High,256.2826669,Clay,44.188138,35.30194028,4.74441386,Drip Irrigation
Oil Seeds,Low,180.0741442,Saline,16.61209145,35.63028428,7.335487882,Sprinkler Irrigation
Tobacco,Medium,143.365649,Sandy,44.17043156,34.87645044,2.820233586,Drip Irrigation
Ground Nuts,Medium,80.59418933,Sandy,29.63060027,23.09327064,2.095343864,Surface Irrigation
Paddy,High,233.8764016,Clay,26.26227135,34.12984584,3.117538981,Basin Irrigation
Tobacco,Medium,108.9643998,Sandy,46.12763115,18.57903395,7.725887411,Border Irrigation
Paddy,Low,142.8555005,Red,34.1540393,31.44290368,9.782349613,Sprinkler Irrigation
Wheat,Medium,65.63555672,Black,33.06456029,31.03921417,9.864517597,Sprinkler Irrigation
Oil Seeds,Low,250.341729,Black,32.35063778,15.63924498,5.951833193,Surface Irrigation
Wheat,Low,241.647131,Clay,24.84678064,34.69925334,8.954818408,Sprinkler Irrigation
Paddy,Medium,233.4039575,Loamy,41.42572414,37.58120263,7.894611646,Basin Irrigation
Pulses,High,124.8608776,Saline,20.11193776,21.68538196,6.008321896,Basin Irrigation
Pulses,Medium,93.37001857,Clay,47.5557984,35.3097681,6.582084264,Basin Irrigation
Wheat,Low,209.3883161,Sandy,45.7594082,17.0601493,3.097817173,Basin Irrigation
Pulses,Low,174.041596,Saline,23.49921303,29.99919646,9.501291685,Sprinkler Irrigation
Paddy,Medium,94.56311673,Loamy,39.17855079,27.14117163,4.815438166,Basin Irrigation
Cotton,High,221.4778178,Sandy,32.92892778,28.64808833,5.569194052,Surface Irrigation
Wheat,High,297.781608,Red,23.50597208,38.15513005,7.373281848,Surface Irrigation
Ground Nuts,Low,236.8048969,Sandy,49.54086592,36.78288118,4.671219772,Subsurface Irrigation
Ground Nuts,Low,234.9965967,Red,11.00949383,34.62709143,4.034073288,Subsurface Irrigation
Sugarcane,High,287.5781882,Saline,20.10584122,21.84246144,7.048395146,Surface Irrigation
Oil Seeds,Medium,100.7340919,Red,30.80296244,37.79546572,2.199872658,Subsurface Irrigation
Pulses,Low,191.3874912,Saline,30.87812014,17.43769231,7.765800896,Sprinkler Irrigation
Pulses,Low,294.9116788,Saline,33.557323,36.33323041,6.112186959,Surface Irrigation
Maize,High,91.32352774,Saline,40.06704688,23.20400181,6.846029844,Drip Irrigation
Barley,Medium,225.0629899,Saline,34.93911322,16.34430779,7.055041274,Furrow Irrigation
Wheat,High,196.4525365,Saline,34.01125842,31.73392461,6.216401252,Sprinkler Irrigation
Millets,Medium,196.619773,Sandy,12.14057852,20.78199821,6.66027022,Sprinkler Irrigation
Pulses,Medium,224.4176569,Saline,25.06121151,21.08927815,7.470305607,Border Irrigation
Oil Seeds,Medium,282.4042307,Sandy,19.28222959,22.65117916,8.024950777,Surface Irrigation
Sugarcane,Low,245.645485,Saline,20.61480446,16.59211919,7.81961913,Sprinkler Irrigation
Ground Nuts,High,64.03402585,Red,32.17349897,19.4281786,8.956931662,Border Irrigation
Pulses,High,263.182005,Saline,17.9802126,15.12849069,3.515547465,Surface Irrigation
Sugarcane,Medium,106.3853325,Loamy,21.75796404,26.13523803,5.209183756,Basin Irrigation
Paddy,Low,144.2285412,Saline,19.48338834,17.10638444,9.582368528,Sprinkler Irrigation
Paddy,Low,165.4332034,Saline,47.94011773,32.06631513,5.172724595,Basin Irrigation
Barley,High,170.2265002,Red,47.78662929,20.89057128,2.998960615,Drip Irrigation
Cotton,Low,158.7950998,Black,34.39766234,38.5893536,6.203561011,Furrow Irrigation
Millets,Low,284.3383236,Red,46.98089875,36.78129068,2.87592778,Surface Irrigation
Maize,Medium,226.5047519,Loamy,41.43250582,22.23602237,3.62282591,Drip Irrigation
Barley,Low,207.7926615,Black,33.59791531,34.58038637,9.986550053,Sprinkler Irrigation
Tobacco,Medium,62.46050695,Clay,10.25740846,35.08112262,6.330901107,Furrow Irrigation
Maize,High,275.9783326,Clay,40.90065144,39.66407785,4.272467112,Drip Irrigation
Wheat,Low,277.347548,Loamy,38.09953366,29.94599967,9.958199637,Surface Irrigation
Oil Seeds,High,245.0532659,Red,34.61014613,17.04914337,9.732471348,Manual Irrigation
Tobacco,High,51.75730095,Sandy,40.41697247,31.17093072,5.525912329,Drip Irrigation
Tobacco,Low,64.32006277,Loamy,30.51688659,30.62449371,4.08322487,Border Irrigation
Barley,Low,106.3059256,Black,38.16333085,30.95876444,8.707197105,Sprinkler Irrigation
Cotton,High,82.83735204,Black,47.40688347,22.6786412,7.724965736,Drip Irrigation
Barley,Low,149.7090074,Saline,25.03220063,36.49198963,7.49553148,Sprinkler Irrigation
Wheat,Medium,280.6557645,Clay,38.3248734,38.98680457,9.144909931,Surface Irrigation
Ground Nuts,Medium,168.0151085,Black,29.02751272,20.44281282,7.515337071,Basin Irrigation
